time,lat,lng,weight
2016-04-24-04:38:43.150,0.27794071305555557,0.37696761436301435,-84
2016-04-24-04:25:08.148,0.2779340327777778,0.3769701119897296,-78
2016-04-18-06:21:45.955,0.27792893472222224,0.37696779101902017,-89
2016-04-24-05:18:59.174,0.27793540222222224,0.3769618215085154,-85
2016-04-24-04:28:10.159,0.2779394305555556,0.37696827864733484,-89
2016-04-18-06:39:48.584,0.27792176999999996,0.37695605735295334,-78
2016-04-24-05:06:49.163,0.2779332513888889,0.37697224132143536,-86
2016-04-24-04:46:24.391,0.27793729749999996,0.3769754130205492,-70
2016-04-24-04:39:27.448,0.2779401530555555,0.37696893344011917,-81
2016-04-24-04:40:13.184,0.2779400011111111,0.3769690086280305,-79
2016-04-24-04:31:22.137,0.27794572361111114,0.3769699218308228,-82
2016-04-24-04:27:52.163,0.27793870805555554,0.376968104181627,-84
2016-04-18-06:18:22.365,0.2779267844444444,0.3769732304287804,-127
2016-04-24-05:16:40.140,0.27793673555555554,0.3769651061260006,-85
2016-04-24-04:24:42.195,0.27793373666666665,0.3769709361316186,-73
2016-04-18-06:17:57.364,0.2779258561111111,0.3769729614357754,-83
2016-04-24-05:15:01.692,0.2779381536111111,0.3769676716667326,-72
2016-04-24-04:52:09.181,0.2779349902777778,0.3769740487204778,-85
2016-04-24-04:53:38.395,0.2779319547222222,0.3769736476045943,-71.00000000000001
2016-04-24-03:43:40.455,0.27797567166666665,0.37700887942968575,-53
2016-04-24-05:06:29.207,0.2779329022222222,0.3769730687410258,-84
2016-04-24-08:30:20.216,0.2779346261111111,0.3769742425260064,-74
2016-04-24-04:28:37.215,0.27794031694444443,0.3769685184462329,-81
2016-04-24-05:19:16.147,0.27793464777777777,0.37696193575364434,-84
2016-04-24-05:17:26.185,0.27793704583333334,0.3769643002143691,-86
2016-04-24-04:31:30.185,0.27794583527777783,0.3769697772953554,-85
2016-04-24-04:24:52.148,0.2779337777777778,0.376970579904109,-71.00000000000001
2016-04-24-04:41:25.197,0.27793913555555555,0.3769714065993299,-127
2016-04-24-04:41:02.176,0.27793940666666667,0.37697098686479763,-84
2016-04-24-04:29:42.148,0.277942825,0.3769692447763206,-77
2016-04-24-04:52:52.351,0.27793371305555553,0.37697325378772484,-82
2016-04-24-05:06:02.399,0.2779326833333333,0.37697344357906615,-64
2016-04-24-05:21:22.169,0.2779298188888889,0.3769621518337428,-127
2016-04-24-04:24:13.140,0.2779335869444445,0.37697185881686146,-82
2016-04-24-04:54:19.709,0.27793146944444447,0.3769733037904579,-77
2016-04-24-04:29:26.949,0.2779421847222222,0.3769690192127347,-81
2016-04-24-04:24:57.138,0.2779338738888889,0.3769704328141155,-68
2016-04-19-12:07:18.972,0.27793388527777774,0.37696183428353247,-68
2016-04-24-04:24:08.148,0.2779334986111111,0.37697200298611727,-78
2016-04-24-04:33:47.149,0.2779470508333334,0.3769664314214827,-86
2016-04-24-05:07:08.886,0.27793342777777774,0.3769715058755665,-76
